row,pipeline,precision,recall,f1,TP,FP,FN,TN,scoring basis
1,"Published manuscript (Table: end-to-end disease mapping)",0.892,0.819,0.854,,,,,"as printed in the submitted manuscript"
2,"Original pipeline, reproduced on the paper's own evaluation fixture",0.986,0.885,0.933,579,8,75,,"ds_test_crossencoded.pkl as shipped: its bert_predict column, the paper's test_metrics.py criterion"
3,"Original pipeline, verified deployed screen checkpoint",0.844,0.833,0.839,545,101,109,,"same criterion; screen predictions re-scored from the deployed checkpoint"
4,"Original pipeline, + its own PubTator gene check (as deployed)",0.845,0.817,0.831,534,98,120,,"screen ^ CE>=0.9 ^ gene check ^ exact set"
5,"Original pipeline, + completed and corrected labels",0.814,0.804,0.809,,,,,"restored 410 sibling negatives; PURA relabel; co-reported pairs reviewed"
6,"NEW pipeline as deployed (screen -> TIAB gene gate -> all candidates -> GPT-OSS-20B; cross-encoder removed, no threshold)",0.840,0.848,0.844,547,104,98,2028,"identical criterion and labels as row 5"
6b,"NEW pipeline retaining the cross-encoder as a ranker (same candidates shown)",0.851,0.850,0.850,548,96,97,2031,"identical criterion and labels; difference from row 6 is within noise (McNemar p=0.86)"
7,"NEW pipeline, direct variant (TIAB gene gate -> LLM; no screen, no cross-encoder)",0.625,0.902,0.738,582,350,63,1781,"identical criterion and labels; recall ceiling of the design"
# Test set: the LitDD-BERT test split (2,731 abstracts after dropping 8 with retired curated entries; 646 curated).
# Criterion for every row from 3 down: an abstract counts as correct only when the set of returned G2P entries EQUALS the curated set.
#
# WHY THE ORIGINAL PIPELINE NOW SCORES BELOW ITS PUBLISHED 0.892/0.819/0.854 -- four measurement changes, none of them a change to the pipeline:
# (a) EVALUATION FIXTURE. ds_test_crossencoded.pkl carries screen predictions with 98.6% recall at a 0.4% false-fire rate on this split.
#     No released or archived checkpoint reproduces that (deployed _best, released add20k and all seeds: 0.925-0.944 recall, 3.3-3.7% fires),
#     and it contradicts the screen figures reported in the same manuscript (~0.92 F1). Re-scoring with the verified deployed checkpoint
#     costs ~9 F1 points (row 2 -> row 3). This is the dominant term and it applies to the published figure, not only to this re-analysis.
# (b) THE GENE CHECK WAS OMITTED. The published scorer applied screen ^ score gate ^ exact set, but deployment also required a PubTator gene
#     mention (final_data_clean.py). Including it costs ~1 further point (row 3 -> row 4).
# (c) LABELS WERE INCOMPLETE. final_traintest_dataset.py's reduce_group dropped 410 clinician-labelled sibling negatives on 224 positive test
#     abstracts; restored, the original's extra-sibling answers now count against it (row 4 -> row 5).
# (d) LABELS WERE CORRECTED. 30 PURA papers had been filed against a PDHA1 entry; 40 co-reported pairs were reviewed (31 confirmed, 9 rejected);
#     100 pairs for G2P01446 (a cancer-predisposition entry out of scope for DDG2P) were removed. Every arm is scored on these same labels.
# Rows 5-7 are therefore the only like-for-like comparison, and the manuscript should restate the original pipeline's end-to-end figure from
# verifiable inputs (row 5) rather than from the fixture.
